Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
1175-1629-ND,CNC TECH LLC,3220-10-0300-00,P17,1,0,0,14 Weeks,IDC BOX HEADER 0.050 10 POS,,RoHS Compliant,Lead free,Unaffected Dec-2015
490-6328-1-ND,MURATA ELECTRONICS (VA),GRM155R71C104KA88J,C3 C5 C1 C11 C12 C13 C14,7,0,0,15 Weeks,CAP CER 0.1UF 16V X7R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
AP2112K-3.3TRG1DICT-ND,DIODES INCORPORATED (VA),AP2112K-3.3TRG1,U3,1,0,0,10 Weeks,IC REG LDO 3.3V 0.6A SOT25,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
535-9536-1-ND,ABRACON LLC (VA),ABS10-32.768KHZ-T,Y1,1,0,0,17 Weeks,CRYSTAL 32.7680KHZ 12.5PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
S5713-ND,SULLINS CONNECTOR SOLUTIONS,NPPC042KFMS-RC,P3,1,0,0,3 Weeks,CONN FEMALE 8POS DL .1" GOLD SMD,,RoHS Compliant,Lead free,Unaffected Jun-2016
311-10KJRCT-ND,YAGEO (VA),RC0402JR-0710KL,R3 R6,2,0,0,22 Weeks,RES SMD 10K OHM 5% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
507-1803-1-ND,BEL FUSE INC (VA),0ZCJ0050AF2E,F1,1,0,0,18 Weeks,PTC RESTTBLE 0.50A 24V CHIP 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
296-8744-1-ND,TEXAS INSTRUMENTS (VA),SN74AHC1G125DBVR,U1,1,0,0,6 Weeks,IC BUS BUFF TRI-ST N-INV SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
712-1261-1-ND,JOHANSON TECHNOLOGY INC (VA),500R07S150JV4T,C2 C4,2,0,0,6 Weeks,CAP CER 15PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
CKN9112CT-ND,C&K (VA),PTS645SM43SMTR92 LFS,SW2,1,0,0,20 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
